Date,Open,Max,Min,Close
2009-09-18,17.259,17.375,16.958,17.017
2009-09-21,17.01,17.02,16.505,16.842
2009-09-22,16.841,17.317,16.801,17.13
2009-09-23,17.131,17.27,16.7,16.837
2009-09-24,16.833,17.01,16.165,16.255
2009-09-25,16.253,16.382,15.932,16.05
2009-09-28,16.03,16.307,15.74,16.185
2009-09-29,16.18,16.3,15.985,16.155
2009-09-30,16.16,16.688,16.139,16.65
2009-10-01,16.651,16.77,16.325,16.36
2009-10-02,16.359,16.535,15.915,16.155
2009-10-05,16.17,16.656,16.028,16.63
2009-10-06,16.628,17.413,16.595,17.352
2009-10-07,17.351,17.573,17.275,17.555
2009-10-08,17.549,17.93,17.491,17.772
2009-10-09,17.774,17.82,17.527,17.72
2009-10-12,17.72,17.973,17.694,17.735
2009-10-13,17.731,18.042,17.535,17.795
2009-10-14,17.793,18.102,17.705,17.882
2009-10-15,17.883,17.98,17.315,17.355
2009-10-16,17.366,17.56,17.195,17.465
2009-10-19,17.455,17.846,17.25,17.845
2009-10-20,17.846,17.94,17.415,17.51
2009-10-21,17.511,17.813,17.297,17.705
2009-10-22,17.706,17.817,17.355,17.67
2009-10-23,17.665,17.956,17.482,17.68
2009-10-26,17.69,17.78,17.005,17.095
2009-10-27,17.094,17.237,16.499,16.72
2009-10-28,16.719,16.78,16.115,16.155
2009-10-29,16.153,16.707,16.09,16.69
2009-10-30,16.688,16.75,16.153,16.3
2009-11-02,16.31,16.718,16.27,16.455
2009-11-03,16.461,17.335,16.243,17.23
2009-11-04,17.229,17.62,17.092,17.465
2009-11-05,17.464,17.519,17.21,17.405
2009-11-06,17.406,17.622,17.271,17.375
2009-11-09,17.415,17.783,17.413,17.595
2009-11-10,17.594,17.647,17.155,17.345
2009-11-11,17.344,17.72,17.313,17.61
2009-11-12,17.611,17.765,17.195,17.235
2009-11-13,17.233,17.455,17.028,17.435
2009-11-16,17.44,18.45,17.44,18.385
2009-11-17,18.386,18.452,18.083,18.425
2009-11-18,18.429,18.845,18.305,18.565
2009-11-19,18.57,18.632,18.15,18.53
2009-11-20,18.535,18.59,18.043,18.51
2009-11-23,18.48,18.945,18.48,18.615
2009-11-24,18.616,18.69,18.327,18.525
2009-11-25,18.526,18.867,18.48,18.867
2009-11-26,18.866,18.895,18.434,18.635
2009-11-27,18.646,18.66,17.67,18.305
2009-11-30,18.305,18.512,18.105,18.49
2009-12-01,18.498,19.267,18.389,19.09
2009-12-02,19.094,19.438,19.065,19.24
2009-12-03,19.243,19.47,18.805,18.83
2009-12-04,18.827,18.939,18.291,18.51
2009-12-07,18.485,18.569,17.865,18.192
2009-12-08,18.201,18.36,17.535,17.595
2009-12-09,17.594,17.9,17.122,17.405
